ecoregion,year,ba_mcd_native_Mha,ba_firecci_native_Mha
Montane Sub-Boreal,2007,0.432,0.9952
NORTHERN ARCTIC,2007,0.0,0.0
Northern Taiga,2007,0.0,0.0032
SOFTWOOD SHIELD,2007,0.4432,0.3424
SOUTHERN ARCTIC,2007,0.0,0.0
Southern Taiga,2007,0.0464,0.0976
TAIGA CORDILLERA,2007,0.0112,0.0544
TAIGA PLAIN,2007,0.0848,0.1072
TAIGA SHIELD,2007,0.2352,0.192
TEMPERATE PRAIRIES,2007,0.0,0.0
WATER,2007,0.0,0.0
WESTERN CORDILLERA,2007,0.0,0.0
Wetlands,2007,0.0224,0.056
ALASKA BOREAL INTERIOR,2008,0.0,0.0112
ALASKA TUNDRA,2008,0.0,0.0
ARCTIC CORDILLERA,2008,0.0,0.0
Arctic Deserts and Tundra,2008,0.0272,0.0416
BOREAL CORDILLERA,2008,0.0,0.0
BOREAL PLAIN,2008,0.0272,0.0512
BROOKS RANGE TUNDRA,2008,0.0,0.0
Central Taiga,2008,0.3216,0.3296
Forest Tundra,2008,0.0,0.0
HUDSON PLAIN,2008,0.0,0.0
MARINE WEST COAST FOREST,2008,0.0,0.0
MIXED WOOD SHIELD,2008,0.0,0.0
Montane Boreal,2008,1.4832,2.816
Montane Sub-Arctic,2008,0.0416,0.096
Montane Sub-Boreal,2008,0.3744,1.2512
NORTHERN ARCTIC,2008,0.0,0.0
Northern Taiga,2008,0.0,0.0016
SOFTWOOD SHIELD,2008,0.3584,0.3968
SOUTHERN ARCTIC,2008,0.0,0.0
Southern Taiga,2008,0.2528,0.8064
TAIGA CORDILLERA,2008,0.0,0.0
TAIGA PLAIN,2008,0.1216,0.0912
TAIGA SHIELD,2008,0.1408,0.1408
TEMPERATE PRAIRIES,2008,0.0,0.0
WATER,2008,0.0,0.0
WESTERN CORDILLERA,2008,0.0,0.0
Wetlands,2008,0.1024,0.2288
ALASKA BOREAL INTERIOR,2009,0.1856,0.7056
ALASKA TUNDRA,2009,0.0,0.0
ARCTIC CORDILLERA,2009,0.0,0.0
Arctic Deserts and Tundra,2009,0.0,0.0
BOREAL CORDILLERA,2009,0.0592,0.1264
BOREAL PLAIN,2009,0.0064,0.0
BROOKS RANGE TUNDRA,2009,0.0,0.0
Central Taiga,2009,0.3744,0.392
Forest Tundra,2009,0.0128,0.0144
HUDSON PLAIN,2009,0.0048,0.0
MARINE WEST COAST FOREST,2009,0.0,0.0
MIXED WOOD SHIELD,2009,0.0,0.0
Montane Boreal,2009,0.128,0.2432
Montane Sub-Arctic,2009,0.2528,0.5472
Montane Sub-Boreal,2009,0.44,0.3584
NORTHERN ARCTIC,2009,0.0,0.0
Northern Taiga,2009,0.0368,0.04
SOFTWOOD SHIELD,2009,0.056,0.032
SOUTHERN ARCTIC,2009,0.0,0.0
Southern Taiga,2009,0.0256,0.1296
TAIGA CORDILLERA,2009,0.0,0.0
TAIGA PLAIN,2009,0.0,0.0048
TAIGA SHIELD,2009,0.024,0.0096
TEMPERATE PRAIRIES,2009,0.0,0.0
WATER,2009,0.0,0.0
WESTERN CORDILLERA,2009,0.0,0.0
Wetlands,2009,0.0624,0.1616
ALASKA BOREAL INTERIOR,2010,0.0048,0.1152
ALASKA TUNDRA,2010,0.0,0.0032
ARCTIC CORDILLERA,2010,0.0,0.0
Arctic Deserts and Tundra,2010,0.0096,0.0096
BOREAL CORDILLERA,2010,0.0224,0.048
BOREAL PLAIN,2010,0.0336,0.0224
BROOKS RANGE TUNDRA,2010,0.008,0.0096
Central Taiga,2010,0.3264,0.3712
Forest Tundra,2010,0.0,0.0
HUDSON PLAIN,2010,0.0128,0.0128
MARINE WEST COAST FOREST,2010,0.0,0.0
MIXED WOOD SHIELD,2010,0.0,0.0
Montane Boreal,2010,0.088,0.072
Montane Sub-Arctic,2010,0.9584,1.3792
Montane Sub-Boreal,2010,0.0368,0.1296
NORTHERN ARCTIC,2010,0.0,0.0
Northern Taiga,2010,0.0048,0.0192
SOFTWOOD SHIELD,2010,1.112,1.0592
SOUTHERN ARCTIC,2010,0.0,0.0
Southern Taiga,2010,0.1776,0.1312
TAIGA CORDILLERA,2010,0.0064,0.0352
TAIGA PLAIN,2010,0.0,0.0
TAIGA SHIELD,2010,0.0576,0.1216
TEMPERATE PRAIRIES,2010,0.0,0.0
WATER,2010,0.0,0.0
WESTERN CORDILLERA,2010,0.0,0.0
Wetlands,2010,0.0704,0.1952
ALASKA BOREAL INTERIOR,2011,0.0,0.0032
ALASKA TUNDRA,2011,0.0032,0.0032
ARCTIC CORDILLERA,2011,0.0,0.0
Arctic Deserts and Tundra,2011,0.0,0.0
BOREAL CORDILLERA,2011,0.0,0.0096
BOREAL PLAIN,2011,0.1776,0.2368
BROOKS RANGE TUNDRA,2011,0.0,0.0
Central Taiga,2011,0.7472,1.024
Forest Tundra,2011,0.0,0.0016
HUDSON PLAIN,2011,0.0,0.0016
MARINE WEST COAST FOREST,2011,0.0,0.0
MIXED WOOD SHIELD,2011,0.0,0.0
Montane Boreal,2011,0.9648,0.9472
Montane Sub-Arctic,2011,0.0592,0.0784
Montane Sub-Boreal,2011,0.6608,0.5888
NORTHERN ARCTIC,2011,0.0,0.0
Northern Taiga,2011,0.024,0.0592
SOFTWOOD SHIELD,2011,0.5584,0.4032
SOUTHERN ARCTIC,2011,0.0,0.0
Southern Taiga,2011,0.3616,0.352
TAIGA CORDILLERA,2011,0.0,0.0
TAIGA PLAIN,2011,0.2128,0.272
TAIGA SHIELD,2011,0.0896,0.1568
TEMPERATE PRAIRIES,2011,0.0,0.0
WATER,2011,0.0,0.0
WESTERN CORDILLERA,2011,0.0,0.0
Wetlands,2011,0.0736,0.144
ALASKA BOREAL INTERIOR,2012,0.0112,0.0064
ALASKA TUNDRA,2012,0.0064,0.0176
ARCTIC CORDILLERA,2012,0.0,0.0
Arctic Deserts and Tundra,2012,0.0,0.0
BOREAL CORDILLERA,2012,0.0,0.0
BOREAL PLAIN,2012,0.0272,0.0272
BROOKS RANGE TUNDRA,2012,0.0,0.0
Central Taiga,2012,2.5088,3.3424
Forest Tundra,2012,0.0032,0.0
HUDSON PLAIN,2012,0.0,0.0
MARINE WEST COAST FOREST,2012,0.0,0.0
MIXED WOOD SHIELD,2012,0.0,0.0
Montane Boreal,2012,1.0592,1.544
Montane Sub-Arctic,2012,0.128,0.264
Montane Sub-Boreal,2012,0.2512,0.344
NORTHERN ARCTIC,2012,0.0,0.0
Northern Taiga,2012,0.248,0.5184
SOFTWOOD SHIELD,2012,0.2128,0.16
SOUTHERN ARCTIC,2012,0.0,0.0016
Southern Taiga,2012,0.3136,0.4816
TAIGA CORDILLERA,2012,0.0,0.0048
TAIGA PLAIN,2012,0.3408,0.3456
TAIGA SHIELD,2012,0.104,0.0704
TEMPERATE PRAIRIES,2012,0.0,0.0
WATER,2012,0.0,0.0
WESTERN CORDILLERA,2012,0.0,0.0
Wetlands,2012,0.3248,0.4224
ALASKA BOREAL INTERIOR,2013,0.0224,0.12
ALASKA TUNDRA,2013,0.0,0.0
ARCTIC CORDILLERA,2013,0.0,0.0
Arctic Deserts and Tundra,2013,0.0,0.0048
BOREAL CORDILLERA,2013,0.0672,0.104
BOREAL PLAIN,2013,0.0,0.0
BROOKS RANGE TUNDRA,2013,0.0,0.0
Central Taiga,2013,0.9056,1.2272
Forest Tundra,2013,0.0064,0.0112
HUDSON PLAIN,2013,0.5024,0.4992
MARINE WEST COAST FOREST,2013,0.0,0.0064
MIXED WOOD SHIELD,2013,0.0,0.0
Montane Boreal,2013,0.096,0.0944
Montane Sub-Arctic,2013,0.008,0.0656
Montane Sub-Boreal,2013,0.0912,0.1808
NORTHERN ARCTIC,2013,0.0,0.0
Northern Taiga,2013,1.1824,1.2672
SOFTWOOD SHIELD,2013,1.4016,1.0928
SOUTHERN ARCTIC,2013,0.0,0.0
Southern Taiga,2013,0.016,0.016
TAIGA CORDILLERA,2013,0.0,0.0
TAIGA PLAIN,2013,0.0912,0.1328
TAIGA SHIELD,2013,0.5744,0.6272
TEMPERATE PRAIRIES,2013,0.0,0.0
WATER,2013,0.0,0.0
WESTERN CORDILLERA,2013,0.0,0.0
Wetlands,2013,0.128,0.184
ALASKA BOREAL INTERIOR,2014,0.0,0.0128
ALASKA TUNDRA,2014,0.0,0.0
ARCTIC CORDILLERA,2014,0.0,0.0
Arctic Deserts and Tundra,2014,0.0,0.0032
BOREAL CORDILLERA,2014,0.0048,0.0048
BOREAL PLAIN,2014,0.0,0.0016
BROOKS RANGE TUNDRA,2014,0.0,0.0
Central Taiga,2014,1.992,2.4448
Forest Tundra,2014,0.0,0.0
HUDSON PLAIN,2014,0.0,0.0
MARINE WEST COAST FOREST,2014,0.0144,0.0336
MIXED WOOD SHIELD,2014,0.0,0.0
Montane Boreal,2014,1.8976,0.6944
Montane Sub-Arctic,2014,0.0272,0.1056
Montane Sub-Boreal,2014,1.7584,0.5296
NORTHERN ARCTIC,2014,0.0,0.0
Northern Taiga,2014,0.176,0.2576
SOFTWOOD SHIELD,2014,0.144,0.1168
SOUTHERN ARCTIC,2014,0.0,0.0
Southern Taiga,2014,0.2848,0.4912
TAIGA CORDILLERA,2014,0.0,0.0
TAIGA PLAIN,2014,0.9584,1.2512
TAIGA SHIELD,2014,0.488,0.8224
TEMPERATE PRAIRIES,2014,0.0,0.0
WATER,2014,0.0,0.0
WESTERN CORDILLERA,2014,0.0,0.0
Wetlands,2014,0.1152,0.2496
ALASKA BOREAL INTERIOR,2015,0.2112,0.88
ALASKA TUNDRA,2015,0.0144,0.0144
ARCTIC CORDILLERA,2015,0.0,0.0
Arctic Deserts and Tundra,2015,0.0016,0.0096
BOREAL CORDILLERA,2015,0.1024,0.144
BOREAL PLAIN,2015,0.392,0.5168
BROOKS RANGE TUNDRA,2015,0.0,0.0
Central Taiga,2015,0.0848,0.0832
Forest Tundra,2015,0.0,0.0
HUDSON PLAIN,2015,0.0,0.0
MARINE WEST COAST FOREST,2015,0.0032,0.0064
MIXED WOOD SHIELD,2015,0.0,0.0
Montane Boreal,2015,1.0352,1.4256
Montane Sub-Arctic,2015,0.0064,0.0192
Montane Sub-Boreal,2015,1.1392,1.8896
NORTHERN ARCTIC,2015,0.0,0.0
Northern Taiga,2015,0.0064,0.0064
SOFTWOOD SHIELD,2015,0.6128,0.6352
SOUTHERN ARCTIC,2015,0.0,0.0
Southern Taiga,2015,0.0288,0.0672
TAIGA CORDILLERA,2015,0.0064,0.008
TAIGA PLAIN,2015,0.2848,0.456
